Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price-$,Purchased Date,Year-Month
Colorado,Creta,Hyundai,Hatchback,Gray,Manual,5,5,Petrol,2022,6200,2017-02-15,2017-02
Texas,Dzire,Maruti,Sedan,Black,Manual,5,5,Electric,2016,8800,2020-03-02,2020-03
Tennessee,i20,Hyundai,Hatchback,Red,Manual,4,5,Electric,2016,8300,2017-01-13,2017-01
North Carolina,Hilux,Toyota,Truck,Black,Automatic,4,2,Petrol,2018,7600,2015-04-18,2015-04
New York,Scorpio,Mahindra,SUV,Gray,Manual,5,5,Petrol,2017,8200,2015-06-12,2015-06
Colorado,Scorpio,Mahindra,SUV,Red,Manual,5,5,Hybrid,2017,9200,2020-09-27,2020-09
Tennessee,Swift,Maruti,Sedan,Gray,Automatic,5,4,Petrol,2017,7200,2024-07-28,2024-07
Arizona,Seltos,Kia,Hatchback,Blue,Manual,5,5,Petrol,2021,6300,2017-12-29,2017-12
Pennsylvania,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Electric,2019,8000,2016-04-30,2016-04
California,Scorpio,Mahindra,SUV,White,Automatic,5,5,Hybrid,2016,9300,2016-07-11,2016-07
Texas,Swift,Maruti,Sedan,White,Automatic,5,4,Hybrid,2020,7900,2024-02-10,2024-02
Michigan,Etriga,Maruti,Hatchback,Black,Manual,4,5,Hybrid,2023,7100,2015-04-23,2015-04
North Carolina,Creta,Hyundai,Hatchback,White,Automatic,5,5,Petrol,2017,6700,2018-10-06,2018-10
Oklahoma,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Diesel,2018,8200,2020-04-05,2020-04
Ohio,Etriga,Maruti,Hatchback,Red,Automatic,4,5,Petrol,2018,6600,2024-02-16,2024-02
California,Yodha,Tata,Truck,Red,Manual,3,2,Electric,2021,8800,2018-12-20,2018-12
Texas,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Electric,2022,7700,2023-10-25,2023-10
Texas,Yodha,Tata,Truck,Gray,Manual,3,2,Electric,2017,9200,2021-10-29,2021-10
Texas,Seltos,Kia,Hatchback,Gray,Manual,5,5,Electric,2019,8000,2024-11-12,2024-11
Colorado,Kags,Renault,SUV,White,Automatic,7,5,Diesel,2020,8000,2018-03-18,2018-03
North Carolina,Thar,Mahindra,SUV,White,Manual,5,3,Diesel,2020,8000,2021-08-22,2021-08
Oregon,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Diesel,2015,7500,2017-12-25,2017-12
New York,Thar,Mahindra,SUV,Gray,Manual,5,3,Diesel,2019,8100,2024-03-18,2024-03
North Carolina,Creta,Hyundai,Hatchback,Blue,Automatic,5,5,Petrol,2023,6100,2023-08-15,2023-08
North Carolina,Kags,Renault,SUV,Black,Manual,7,5,Diesel,2021,7900,2016-06-03,2016-06
North Carolina,Etriga,Maruti,Hatchback,Black,Manual,4,5,Petrol,2024,6000,2022-10-13,2022-10
North Carolina,Plato,Prazo,Convertible,White,Automatic,2,2,Electric,2019,10500,2024-07-25,2024-07
New York,Fortuner,Toyota,SUV,Red,Automatic,8,5,Electric,2021,9300,2024-08-02,2024-08
New York,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Electric,2015,8400,2016-03-24,2016-03
Pennsylvania,Hilux,Toyota,Truck,Red,Automatic,4,2,Petrol,2020,7400,2020-08-14,2020-08
North Carolina,Thar,Mahindra,SUV,Black,Automatic,5,3,Petrol,2023,7600,2018-02-18,2018-02
Ohio,i20,Hyundai,Hatchback,White,Automatic,4,5,Electric,2021,7800,2023-02-11,2023-02
California,Seltos,Kia,Hatchback,White,Automatic,5,5,Petrol,2021,6300,2018-09-02,2018-09
Colorado,Hilux,Toyota,Truck,Gray,Manual,4,2,Hybrid,2016,8800,2017-01-19,2017-01
California,Scorpio,Mahindra,SUV,White,Manual,5,5,Petrol,2015,8400,2021-07-21,2021-07
Texas,Seltos,Kia,Hatchback,Blue,Automatic,5,5,Petrol,2019,6500,2021-10-27,2021-10
North Carolina,Seltos,Kia,Hatchback,Blue,Manual,5,5,Hybrid,2021,7300,2024-08-22,2024-08
New York,Kags,Renault,SUV,White,Manual,7,5,Electric,2022,9200,2019-10-01,2019-10
California,Plato,Prazo,Convertible,Gray,Manual,2,2,Electric,2016,10800,2019-02-13,2019-02
Ohio,Hilux,Toyota,Truck,Gray,Automatic,4,2,Petrol,2022,7200,2017-09-09,2017-09
Ohio,Plato,Prazo,Convertible,Red,Manual,2,2,Electric,2019,10500,2018-07-02,2018-07
Florida,Swift,Maruti,Sedan,White,Automatic,5,4,Electric,2017,8700,2020-12-26,2020-12
Illinois,Swift,Maruti,Sedan,Black,Automatic,5,4,Hybrid,2022,7700,2021-11-08,2021-11
Colorado,Kags,Renault,SUV,Red,Manual,7,5,Petrol,2023,7600,2015-11-17,2015-11
Florida,Kags,Renault,SUV,Blue,Automatic,7,5,Diesel,2016,8400,2022-04-09,2022-04
North Carolina,Thar,Mahindra,SUV,Blue,Manual,5,3,Electric,2022,9200,2021-11-22,2021-11
Ohio,Etriga,Maruti,Hatchback,Red,Manual,4,5,Diesel,2021,6400,2024-12-06,2024-12
Illinois,Etriga,Maruti,Hatchback,White,Manual,4,5,Electric,2024,7500,2024-01-18,2024-01
Florida,Kags,Renault,SUV,Blue,Manual,7,5,Hybrid,2015,9400,2022-07-29,2022-07
Michigan,Hilux,Toyota,Truck,Blue,Manual,4,2,Petrol,2017,7700,2015-01-08,2015-01
California,Swift,Maruti,Sedan,Blue,Manual,5,4,Electric,2016,8800,2023-11-29,2023-11
Wisconsin,Yodha,Tata,Truck,Black,Automatic,3,2,Electric,2020,8900,2021-12-05,2021-12
Arizona,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Petrol,2018,8100,2019-01-01,2019-01
Utah,Creta,Hyundai,Hatchback,Red,Manual,5,5,Diesel,2018,6700,2021-10-27,2021-10
Florida,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Petrol,2022,6200,2017-06-01,2017-06
Utah,Dzire,Maruti,Sedan,White,Manual,5,5,Hybrid,2023,7600,2020-03-16,2020-03
New York,Fortuner,Toyota,SUV,Red,Manual,8,5,Hybrid,2020,8900,2023-03-14,2023-03
California,Plato,Prazo,Convertible,Gray,Automatic,2,2,Diesel,2019,9100,2020-04-09,2020-04
Wisconsin,Hilux,Toyota,Truck,Red,Automatic,4,2,Petrol,2016,7800,2015-03-25,2015-03
Ohio,Yodha,Tata,Truck,Blue,Automatic,3,2,Diesel,2020,7500,2019-11-05,2019-11
Arizona,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Petrol,2020,7900,2024-12-06,2024-12
Ohio,Dzire,Maruti,Sedan,Red,Manual,5,5,Hybrid,2018,8100,2020-10-20,2020-10
Oklahoma,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Diesel,2019,6600,2023-07-02,2023-07
California,Hilux,Toyota,Truck,Red,Automatic,4,2,Petrol,2023,7100,2017-08-14,2017-08
Illinois,Thar,Mahindra,SUV,Gray,Automatic,5,3,Petrol,2019,8000,2017-12-05,2017-12
North Carolina,Hilux,Toyota,Truck,Blue,Manual,4,2,Petrol,2022,7200,2022-01-01,2022-01
Tennessee,i20,Hyundai,Hatchback,Black,Manual,4,5,Petrol,2024,6000,2021-05-15,2021-05
Texas,Dzire,Maruti,Sedan,White,Manual,5,5,Hybrid,2018,8100,2017-04-12,2017-04
Florida,Yodha,Tata,Truck,Gray,Automatic,3,2,Hybrid,2024,8000,2019-12-06,2019-12
Colorado,Yodha,Tata,Truck,White,Manual,3,2,Hybrid,2022,8200,2018-02-03,2018-02
Michigan,Creta,Hyundai,Hatchback,Red,Manual,5,5,Electric,2020,7900,2020-12-01,2020-12
Arizona,i20,Hyundai,Hatchback,White,Manual,4,5,Electric,2015,8400,2018-05-14,2018-05
Colorado,Etriga,Maruti,Hatchback,White,Automatic,4,5,Petrol,2015,6900,2016-11-07,2016-11
Michigan,Swift,Maruti,Sedan,Gray,Automatic,5,4,Diesel,2016,7400,2015-07-29,2015-07
California,Seltos,Kia,Hatchback,Red,Automatic,5,5,Petrol,2016,6800,2015-09-09,2015-09
North Carolina,Hilux,Toyota,Truck,White,Manual,4,2,Electric,2017,9200,2018-03-01,2018-03
North Carolina,Seltos,Kia,Hatchback,Black,Manual,5,5,Hybrid,2015,7900,2019-10-14,2019-10
Pennsylvania,Swift,Maruti,Sedan,Black,Automatic,5,4,Hybrid,2020,7900,2022-01-19,2022-01
Illinois,Etriga,Maruti,Hatchback,Gray,Automatic,4,5,Hybrid,2016,7800,2023-04-07,2023-04
Ohio,Dzire,Maruti,Sedan,White,Automatic,5,5,Electric,2015,8900,2022-10-01,2022-10
Illinois,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Diesel,2020,6500,2016-10-19,2016-10
California,Fortuner,Toyota,SUV,Blue,Manual,8,5,Electric,2017,9700,2019-05-26,2019-05
Pennsylvania,Hilux,Toyota,Truck,White,Manual,4,2,Petrol,2016,7800,2016-09-04,2016-09
Utah,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Diesel,2016,8400,2021-09-15,2021-09
North Carolina,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Electric,2021,7800,2017-08-22,2017-08
Colorado,Plato,Prazo,Convertible,White,Automatic,2,2,Petrol,2024,8500,2018-12-19,2018-12
Texas,Kags,Renault,SUV,Gray,Manual,7,5,Petrol,2022,7700,2024-05-22,2024-05
North Carolina,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Hybrid,2015,7900,2020-03-11,2020-03
Ohio,Yodha,Tata,Truck,Red,Manual,3,2,Electric,2022,8700,2024-09-03,2024-09
Colorado,Seltos,Kia,Hatchback,Gray,Manual,5,5,Electric,2016,8300,2016-05-17,2016-05
Oklahoma,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Electric,2018,9600,2019-11-15,2019-11
North Carolina,Yodha,Tata,Truck,Black,Automatic,3,2,Petrol,2020,7400,2024-12-14,2024-12
California,Etriga,Maruti,Hatchback,Red,Manual,4,5,Hybrid,2024,7000,2020-11-05,2020-11
Michigan,Hilux,Toyota,Truck,Red,Automatic,4,2,Hybrid,2019,8500,2015-12-11,2015-12
North Carolina,Thar,Mahindra,SUV,Black,Manual,5,3,Diesel,2015,8500,2021-12-14,2021-12
North Carolina,i20,Hyundai,Hatchback,Red,Manual,4,5,Diesel,2019,6600,2019-03-24,2019-03
Arizona,Yodha,Tata,Truck,Red,Automatic,3,2,Hybrid,2016,8800,2022-11-22,2022-11
Tennessee,Hilux,Toyota,Truck,Red,Automatic,4,2,Hybrid,2019,8500,2016-04-22,2016-04
Illinois,Etriga,Maruti,Hatchback,White,Automatic,4,5,Diesel,2018,6700,2023-12-18,2023-12
Oregon,Yodha,Tata,Truck,Black,Manual,3,2,Petrol,2018,7600,2015-11-29,2015-11
North Carolina,Dzire,Maruti,Sedan,Blue,Manual,5,5,Petrol,2022,6700,2017-04-19,2017-04
Tennessee,Fortuner,Toyota,SUV,Black,Manual,8,5,Electric,2024,9000,2024-05-03,2024-05
Tennessee,Swift,Maruti,Sedan,White,Automatic,5,4,Diesel,2016,7400,2024-06-29,2024-06
Colorado,i20,Hyundai,Hatchback,Black,Automatic,4,5,Electric,2017,8200,2022-06-01,2022-06
Oklahoma,Dzire,Maruti,Sedan,Red,Manual,5,5,Hybrid,2022,7700,2024-01-12,2024-01
Michigan,i20,Hyundai,Hatchback,Red,Automatic,4,5,Diesel,2019,6600,2020-10-22,2020-10
California,Plato,Prazo,Convertible,Blue,Manual,2,2,Electric,2020,10400,2022-08-30,2022-08
North Carolina,i20,Hyundai,Hatchback,Black,Manual,4,5,Petrol,2018,6600,2023-07-22,2023-07
North Carolina,Thar,Mahindra,SUV,Blue,Automatic,5,3,Diesel,2024,7600,2020-01-07,2020-01
Colorado,Thar,Mahindra,SUV,Gray,Manual,5,3,Diesel,2017,8300,2020-03-15,2020-03
Wisconsin,Swift,Maruti,Sedan,Blue,Automatic,5,4,Hybrid,2015,8400,2020-06-09,2020-06
Oregon,Seltos,Kia,Hatchback,Gray,Automatic,5,5,Petrol,2021,6300,2021-03-01,2021-03
Tennessee,Fortuner,Toyota,SUV,Red,Manual,8,5,Hybrid,2016,9300,2016-02-05,2016-02
Texas,Swift,Maruti,Sedan,Black,Manual,5,4,Hybrid,2022,7700,2019-10-18,2019-10
New York,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Electric,2020,8400,2024-03-27,2024-03
Texas,Plato,Prazo,Convertible,Black,Automatic,2,2,Petrol,2021,8800,2016-07-29,2016-07
Arizona,Etriga,Maruti,Hatchback,Red,Automatic,4,5,Diesel,2019,6600,2019-07-06,2019-07
Illinois,Creta,Hyundai,Hatchback,Black,Automatic,5,5,Petrol,2015,6900,2022-06-10,2022-06
Oklahoma,Hilux,Toyota,Truck,White,Automatic,4,2,Petrol,2019,7500,2019-10-21,2019-10
Michigan,Plato,Prazo,Convertible,Black,Automatic,2,2,Diesel,2018,9200,2015-02-15,2015-02
North Carolina,Swift,Maruti,Sedan,Red,Manual,5,4,Diesel,2017,7300,2015-08-11,2015-08
Oklahoma,Creta,Hyundai,Hatchback,White,Automatic,5,5,Hybrid,2021,7300,2022-04-15,2022-04
New York,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Petrol,2018,7100,2023-06-12,2023-06
California,Scorpio,Mahindra,SUV,Gray,Manual,5,5,Electric,2015,9900,2019-06-24,2019-06
California,Thar,Mahindra,SUV,White,Manual,5,3,Diesel,2024,7600,2015-09-18,2015-09
Oklahoma,Yodha,Tata,Truck,White,Manual,3,2,Electric,2017,9200,2024-01-07,2024-01
New York,Thar,Mahindra,SUV,Blue,Manual,5,3,Electric,2017,9700,2021-05-31,2021-05
Colorado,Hilux,Toyota,Truck,Black,Manual,4,2,Petrol,2017,7700,2021-06-08,2021-06
Pennsylvania,Creta,Hyundai,Hatchback,Black,Automatic,5,5,Hybrid,2020,7400,2015-12-18,2015-12
Wisconsin,Seltos,Kia,Hatchback,Blue,Automatic,5,5,Diesel,2021,6400,2019-05-14,2019-05
North Carolina,Plato,Prazo,Convertible,Black,Automatic,2,2,Electric,2016,10800,2017-01-16,2017-01
Ohio,Etriga,Maruti,Hatchback,White,Automatic,4,5,Diesel,2018,6700,2021-03-24,2021-03
Arizona,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Petrol,2023,6100,2021-08-14,2021-08
Wisconsin,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Petrol,2016,8300,2018-12-28,2018-12
Oklahoma,i20,Hyundai,Hatchback,Red,Manual,4,5,Hybrid,2019,7500,2024-01-25,2024-01
Florida,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Hybrid,2015,9400,2023-07-31,2023-07
Florida,Plato,Prazo,Convertible,Red,Automatic,2,2,Petrol,2021,8800,2017-06-29,2017-06
North Carolina,Fortuner,Toyota,SUV,Black,Automatic,8,5,Diesel,2015,8500,2023-08-22,2023-08
Tennessee,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Hybrid,2024,7000,2024-10-31,2024-10
Michigan,i20,Hyundai,Hatchback,Black,Manual,4,5,Diesel,2024,6100,2021-07-07,2021-07
Oklahoma,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Electric,2024,7500,2020-08-30,2020-08
Utah,i20,Hyundai,Hatchback,Black,Manual,4,5,Petrol,2017,6700,2015-08-09,2015-08
Florida,i20,Hyundai,Hatchback,Red,Manual,4,5,Diesel,2017,6800,2023-10-19,2023-10
New York,Thar,Mahindra,SUV,Blue,Manual,5,3,Petrol,2024,7500,2024-03-25,2024-03
Wisconsin,i20,Hyundai,Hatchback,Gray,Manual,4,5,Diesel,2024,6100,2019-01-30,2019-01
North Carolina,Fortuner,Toyota,SUV,White,Manual,8,5,Diesel,2018,8200,2024-02-18,2024-02
Pennsylvania,Dzire,Maruti,Sedan,Gray,Automatic,5,5,Electric,2021,8300,2023-04-08,2023-04
Michigan,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Electric,2015,8400,2022-10-03,2022-10
Arizona,i20,Hyundai,Hatchback,Blue,Manual,4,5,Electric,2021,7800,2016-12-26,2016-12
California,i20,Hyundai,Hatchback,Black,Manual,4,5,Petrol,2021,6300,2017-11-28,2017-11
New York,Plato,Prazo,Convertible,Black,Automatic,2,2,Electric,2024,10000,2015-05-11,2015-05
North Carolina,Kags,Renault,SUV,Blue,Manual,7,5,Diesel,2015,8500,2018-01-12,2018-01
Wisconsin,Hilux,Toyota,Truck,Blue,Automatic,4,2,Hybrid,2023,8100,2018-10-05,2018-10
Ohio,i20,Hyundai,Hatchback,Red,Manual,4,5,Electric,2016,8300,2017-05-25,2017-05
Michigan,Scorpio,Mahindra,SUV,Red,Manual,5,5,Electric,2018,9600,2015-03-06,2015-03
Texas,Thar,Mahindra,SUV,Red,Manual,5,3,Petrol,2024,7500,2018-06-29,2018-06
Texas,Creta,Hyundai,Hatchback,Red,Manual,5,5,Diesel,2021,6400,2021-07-20,2021-07
Florida,Thar,Mahindra,SUV,Blue,Manual,5,3,Hybrid,2022,8700,2018-11-10,2018-11
North Carolina,i20,Hyundai,Hatchback,Black,Automatic,4,5,Diesel,2020,6500,2015-09-15,2015-09
Oklahoma,Dzire,Maruti,Sedan,Blue,Manual,5,5,Hybrid,2022,7700,2024-09-20,2024-09
Arizona,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Hybrid,2018,7600,2015-02-28,2015-02
Illinois,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Diesel,2016,8400,2019-07-17,2019-07
Michigan,Thar,Mahindra,SUV,Black,Manual,5,3,Diesel,2024,7600,2022-08-06,2022-08
California,Swift,Maruti,Sedan,Blue,Automatic,5,4,Petrol,2017,7200,2023-09-25,2023-09
California,Dzire,Maruti,Sedan,Red,Automatic,5,5,Diesel,2017,7300,2019-07-12,2019-07
Colorado,Yodha,Tata,Truck,Black,Manual,3,2,Diesel,2024,7100,2021-04-27,2021-04
North Carolina,Etriga,Maruti,Hatchback,White,Manual,4,5,Hybrid,2019,7500,2016-08-06,2016-08
California,Dzire,Maruti,Sedan,White,Manual,5,5,Diesel,2024,6600,2022-02-18,2022-02
Arizona,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Diesel,2020,7000,2015-09-22,2015-09
Ohio,Fortuner,Toyota,SUV,Red,Automatic,8,5,Hybrid,2015,9400,2018-08-05,2018-08
Ohio,i20,Hyundai,Hatchback,Black,Manual,4,5,Diesel,2015,7000,2021-08-19,2021-08
New York,Kags,Renault,SUV,Blue,Automatic,7,5,Petrol,2024,7500,2023-05-14,2023-05
Colorado,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Hybrid,2017,7700,2018-01-11,2018-01
North Carolina,i20,Hyundai,Hatchback,Red,Automatic,4,5,Petrol,2017,6700,2018-10-17,2018-10
Tennessee,Kags,Renault,SUV,Red,Automatic,7,5,Petrol,2019,8000,2015-08-30,2015-08
Oklahoma,Kags,Renault,SUV,Black,Manual,7,5,Hybrid,2022,8700,2020-07-10,2020-07
Oklahoma,Fortuner,Toyota,SUV,Blue,Manual,8,5,Hybrid,2024,8500,2021-11-28,2021-11
Florida,Creta,Hyundai,Hatchback,White,Automatic,5,5,Electric,2022,7700,2018-03-15,2018-03
Michigan,Seltos,Kia,Hatchback,White,Automatic,5,5,Electric,2017,8200,2017-10-13,2017-10
Wisconsin,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Electric,2022,7700,2021-12-27,2021-12
Wisconsin,Plato,Prazo,Convertible,Red,Automatic,2,2,Diesel,2024,8600,2015-05-23,2015-05
North Carolina,Seltos,Kia,Hatchback,White,Manual,5,5,Electric,2024,7500,2021-10-12,2021-10
California,Yodha,Tata,Truck,White,Automatic,3,2,Diesel,2022,7300,2015-12-30,2015-12
California,Creta,Hyundai,Hatchback,Blue,Automatic,5,5,Petrol,2022,6200,2022-01-17,2022-01
North Carolina,Seltos,Kia,Hatchback,Red,Manual,5,5,Electric,2016,8300,2015-08-08,2015-08
Wisconsin,Swift,Maruti,Sedan,Black,Manual,5,4,Diesel,2020,7000,2024-06-24,2024-06
Florida,Thar,Mahindra,SUV,Black,Manual,5,3,Electric,2016,9800,2024-02-13,2024-02
California,Plato,Prazo,Convertible,Red,Manual,2,2,Electric,2019,10500,2020-09-24,2020-09
Ohio,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Diesel,2024,6100,2023-04-05,2023-04
New York,Thar,Mahindra,SUV,Blue,Automatic,5,3,Petrol,2021,7800,2017-11-30,2017-11
Florida,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Electric,2019,9500,2017-12-14,2017-12
Illinois,Seltos,Kia,Hatchback,White,Automatic,5,5,Electric,2019,8000,2018-01-12,2018-01
Illinois,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Electric,2016,9800,2018-10-20,2018-10
Oklahoma,Yodha,Tata,Truck,Blue,Automatic,3,2,Hybrid,2023,8100,2022-05-24,2022-05
California,Yodha,Tata,Truck,Gray,Automatic,3,2,Diesel,2017,7800,2019-01-29,2019-01
Tennessee,Swift,Maruti,Sedan,Blue,Manual,5,4,Electric,2024,8000,2020-04-06,2020-04
Pennsylvania,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Hybrid,2021,8800,2023-06-12,2023-06
Oregon,Plato,Prazo,Convertible,Red,Automatic,2,2,Hybrid,2020,9900,2015-08-16,2015-08
Utah,Yodha,Tata,Truck,Black,Automatic,3,2,Diesel,2024,7100,2016-12-19,2016-12
Oregon,Yodha,Tata,Truck,White,Automatic,3,2,Petrol,2016,7800,2020-11-09,2020-11
Oklahoma,Swift,Maruti,Sedan,Blue,Manual,5,4,Electric,2023,8100,2017-03-21,2017-03
Tennessee,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Petrol,2016,6800,2021-11-13,2021-11
California,Etriga,Maruti,Hatchback,Black,Manual,4,5,Petrol,2015,6900,2018-05-31,2018-05
Wisconsin,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Hybrid,2020,7400,2021-09-03,2021-09
Michigan,Dzire,Maruti,Sedan,Gray,Manual,5,5,Petrol,2022,6700,2017-10-24,2017-10
Michigan,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Diesel,2024,6100,2021-06-02,2021-06
Pennsylvania,Seltos,Kia,Hatchback,Blue,Manual,5,5,Petrol,2024,6000,2018-04-08,2018-04
Colorado,Seltos,Kia,Hatchback,Blue,Manual,5,5,Petrol,2017,6700,2022-12-07,2022-12
Oregon,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Hybrid,2019,9000,2023-02-19,2023-02
Florida,Swift,Maruti,Sedan,Blue,Automatic,5,4,Electric,2016,8800,2015-11-09,2015-11
North Carolina,Dzire,Maruti,Sedan,Red,Manual,5,5,Electric,2018,8600,2024-11-22,2024-11
California,Plato,Prazo,Convertible,Blue,Automatic,2,2,Hybrid,2017,10200,2018-05-25,2018-05
Illinois,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Petrol,2018,6600,2019-11-26,2019-11
Colorado,Dzire,Maruti,Sedan,White,Automatic,5,5,Petrol,2016,7300,2023-01-19,2023-01
California,Hilux,Toyota,Truck,Red,Manual,4,2,Hybrid,2022,8200,2019-06-24,2019-06
Colorado,Hilux,Toyota,Truck,Gray,Automatic,4,2,Electric,2022,8700,2017-06-24,2017-06
Ohio,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Hybrid,2022,8700,2019-08-14,2019-08
Arizona,Fortuner,Toyota,SUV,Blue,Manual,8,5,Hybrid,2020,8900,2019-07-10,2019-07
Florida,Hilux,Toyota,Truck,Red,Automatic,4,2,Hybrid,2024,8000,2022-01-05,2022-01
Oklahoma,Hilux,Toyota,Truck,Black,Manual,4,2,Hybrid,2019,8500,2022-11-04,2022-11
Illinois,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Electric,2018,8600,2016-02-19,2016-02
Colorado,Swift,Maruti,Sedan,Blue,Automatic,5,4,Petrol,2017,7200,2022-12-21,2022-12
Colorado,Hilux,Toyota,Truck,White,Manual,4,2,Diesel,2019,7600,2021-05-03,2021-05
Oklahoma,Fortuner,Toyota,SUV,Black,Automatic,8,5,Electric,2016,9800,2016-06-16,2016-06
Texas,Swift,Maruti,Sedan,Gray,Manual,5,4,Hybrid,2016,8300,2024-10-01,2024-10
Wisconsin,Plato,Prazo,Convertible,Black,Manual,2,2,Electric,2022,10200,2017-03-04,2017-03
Oklahoma,Creta,Hyundai,Hatchback,Red,Manual,5,5,Hybrid,2015,7900,2020-12-19,2020-12
North Carolina,Hilux,Toyota,Truck,Red,Manual,4,2,Petrol,2015,7900,2015-12-09,2015-12
Texas,Yodha,Tata,Truck,White,Manual,3,2,Hybrid,2020,8400,2024-03-16,2024-03
Tennessee,Creta,Hyundai,Hatchback,Gray,Manual,5,5,Hybrid,2017,7700,2023-01-01,2023-01
Illinois,i20,Hyundai,Hatchback,Red,Automatic,4,5,Diesel,2018,6700,2023-05-19,2023-05
North Carolina,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Electric,2020,7900,2017-03-02,2017-03
Oregon,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Diesel,2022,6300,2018-09-29,2018-09
Colorado,Dzire,Maruti,Sedan,White,Automatic,5,5,Petrol,2021,6800,2020-08-06,2020-08
Oregon,Yodha,Tata,Truck,Red,Manual,3,2,Hybrid,2015,8900,2019-04-01,2019-04
Oregon,Fortuner,Toyota,SUV,White,Automatic,8,5,Electric,2022,9200,2017-10-31,2017-10
Oklahoma,Yodha,Tata,Truck,Red,Manual,3,2,Electric,2021,8800,2018-07-10,2018-07
Michigan,Dzire,Maruti,Sedan,Gray,Manual,5,5,Diesel,2022,6800,2022-06-04,2022-06
Oregon,Yodha,Tata,Truck,White,Automatic,3,2,Petrol,2019,7500,2022-11-25,2022-11
Colorado,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Petrol,2024,6000,2018-05-15,2018-05
North Carolina,Hilux,Toyota,Truck,Blue,Automatic,4,2,Petrol,2015,7900,2015-08-18,2015-08
Illinois,Plato,Prazo,Convertible,Red,Manual,2,2,Electric,2024,10000,2020-11-16,2020-11
Tennessee,Kags,Renault,SUV,Red,Manual,7,5,Electric,2019,9500,2018-08-11,2018-08
Oklahoma,Yodha,Tata,Truck,Black,Manual,3,2,Diesel,2017,7800,2018-01-13,2018-01
Oklahoma,Seltos,Kia,Hatchback,Black,Manual,5,5,Diesel,2018,6700,2023-03-10,2023-03
Michigan,Dzire,Maruti,Sedan,Red,Automatic,5,5,Electric,2017,8700,2021-06-28,2021-06
North Carolina,Yodha,Tata,Truck,Gray,Automatic,3,2,Hybrid,2015,8900,2024-09-27,2024-09
Michigan,Yodha,Tata,Truck,Black,Manual,3,2,Electric,2016,9300,2020-12-02,2020-12
Arizona,Thar,Mahindra,SUV,Black,Manual,5,3,Petrol,2020,7900,2024-06-13,2024-06
Florida,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Electric,2018,9600,2021-02-08,2021-02
New York,Swift,Maruti,Sedan,Gray,Automatic,5,4,Hybrid,2018,8100,2018-02-22,2018-02
Oregon,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Hybrid,2018,9100,2017-05-17,2017-05
Arizona,Thar,Mahindra,SUV,Blue,Automatic,5,3,Diesel,2017,8300,2021-04-18,2021-04
California,Thar,Mahindra,SUV,Black,Automatic,5,3,Petrol,2017,8200,2015-04-04,2015-04
Ohio,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2019,9500,2020-10-25,2020-10
New York,Fortuner,Toyota,SUV,Red,Manual,8,5,Hybrid,2015,9400,2024-07-03,2024-07
